Date and Time, Read Value - kWh (kilowatt hours), Reading quality
13/12/22 10:45, 0, Actual
13/12/22 10:45, 0.022, Actual
13/12/22 10:50, 0, Actual
13/12/22 10:50, 0.02, Actual
13/12/22 10:55, 0, Actual
13/12/22 10:55, 0.019, Actual
13/12/22 11:00, 0, Actual
13/12/22 11:00, 0.019, Actual
13/12/22 11:05, 0, Actual
13/12/22 11:05, 0.019, Actual
13/12/22 11:10, 0, Actual
13/12/22 11:10, 0.021, Actual
13/12/22 11:15, 0, Actual
13/12/22 11:15, 0.022, Actual
13/12/22 11:20, 0, Actual
13/12/22 11:20, 0.022, Actual
13/12/22 11:25, 0, Actual
13/12/22 11:25, 0.019, Actual
13/12/22 11:30, 0, Actual
13/12/22 11:30, 0.019, Actual
13/12/22 11:35, 0, Actual
13/12/22 11:35, 0.019, Actual
13/12/22 11:40, 0, Actual
13/12/22 11:40, 0.019, Actual
13/12/22 11:45, 0, Actual
13/12/22 11:45, 0.021, Actual
13/12/22 11:50, 0, Actual
13/12/22 11:50, 0.023, Actual
13/12/22 11:55, 0, Actual
13/12/22 11:55, 0.022, Actual
13/12/22 12:00, 0, Actual
13/12/22 12:00, 0.019, Actual
13/12/22 12:05, 0, Actual
13/12/22 12:05, 0.018, Actual
13/12/22 12:10, 0, Actual
13/12/22 12:10, 0.019, Actual
13/12/22 12:15, 0, Actual
13/12/22 12:15, 0.019, Actual
13/12/22 12:20, 0, Actual
13/12/22 12:20, 0.022, Actual
13/12/22 12:25, 0, Actual
13/12/22 12:25, 0.023, Actual
13/12/22 12:30, 0, Actual
13/12/22 12:30, 0.021, Actual
13/12/22 12:35, 0, Actual
13/12/22 12:35, 0.019, Actual
13/12/22 12:40, 0, Actual
13/12/22 12:40, 0.019, Actual
13/12/22 12:45, 0, Actual
13/12/22 12:45, 0.018, Actual
13/12/22 12:50, 0, Actual
13/12/22 12:50, 0.02, Actual
13/12/22 12:55, 0, Actual
13/12/22 12:55, 0.022, Actual
13/12/22 13:00, 0, Actual
13/12/22 13:00, 0.022, Actual
13/12/22 13:05, 0, Actual
13/12/22 13:05, 0.021, Actual
13/12/22 13:10, 0, Actual
13/12/22 13:10, 0.019, Actual
13/12/22 13:15, 0, Actual
13/12/22 13:15, 0.019, Actual
13/12/22 13:20, 0, Actual
13/12/22 13:20, 0.019, Actual
13/12/22 13:25, 0, Actual
13/12/22 13:25, 0.02, Actual
13/12/22 13:30, 0, Actual
13/12/22 13:30, 0.022, Actual
13/12/22 13:35, 0, Actual
13/12/22 13:35, 0.022, Actual
13/12/22 13:40, 0, Actual
13/12/22 13:40, 0.021, Actual
13/12/22 13:45, 0, Actual
13/12/22 13:45, 0.018, Actual
13/12/22 13:50, 0, Actual
13/12/22 13:50, 0.019, Actual
13/12/22 13:55, 0, Actual
13/12/22 13:55, 0.019, Actual
13/12/22 14:00, 0, Actual
13/12/22 14:00, 0.021, Actual
13/12/22 14:05, 0, Actual
13/12/22 14:05, 0.022, Actual
13/12/22 14:10, 0, Actual
13/12/22 14:10, 0.022, Actual
13/12/22 14:15, 0, Actual
13/12/22 14:15, 0.02, Actual
13/12/22 14:20, 0, Actual
13/12/22 14:20, 0.019, Actual
13/12/22 14:25, 0, Actual
13/12/22 14:25, 0.019, Actual
13/12/22 14:30, 0, Actual
13/12/22 14:30, 0.018, Actual
13/12/22 14:35, 0, Actual
13/12/22 14:35, 0.022, Actual
13/12/22 14:40, 0, Actual
13/12/22 14:40, 0.022, Actual
13/12/22 14:45, 0, Actual
13/12/22 14:45, 0.022, Actual
13/12/22 14:50, 0, Actual
13/12/22 14:50, 0.019, Actual
13/12/22 14:55, 0, Actual
13/12/22 14:55, 0.019, Actual
13/12/22 15:00, 0, Actual
13/12/22 15:00, 0.019, Actual
13/12/22 15:05, 0, Actual
13/12/22 15:05, 0.02, Actual
13/12/22 15:10, 0, Actual
13/12/22 15:10, 0.022, Actual
13/12/22 15:15, 0, Actual
13/12/22 15:15, 0.022, Actual
13/12/22 15:20, 0, Actual
13/12/22 15:20, 0.021, Actual
13/12/22 15:25, 0, Actual
13/12/22 15:25, 0.019, Actual
13/12/22 15:30, 0, Actual
13/12/22 15:30, 0.018, Actual
13/12/22 15:35, 0, Actual
13/12/22 15:35, 0.019, Actual
13/12/22 15:40, 0, Actual
13/12/22 15:40, 0.02, Actual
13/12/22 15:45, 0, Actual
13/12/22 15:45, 0.023, Actual
13/12/22 15:50, 0, Actual
13/12/22 15:50, 0.022, Actual
13/12/22 15:55, 0, Actual
13/12/22 15:55, 0.019, Actual
13/12/22 16:00, 0, Actual
13/12/22 16:00, 0.009, Actual
13/12/22 16:05, 0, Actual
13/12/22 16:05, 0.009, Actual
13/12/22 16:10, 0, Actual
13/12/22 16:10, 0.009, Actual
13/12/22 16:15, 0, Actual
13/12/22 16:15, 0.011, Actual
13/12/22 16:20, 0, Actual
13/12/22 16:20, 0.012, Actual
13/12/22 16:25, 0, Actual
13/12/22 16:25, 0.013, Actual
13/12/22 16:30, 0, Actual
13/12/22 16:30, 0.01, Actual
13/12/22 16:35, 0, Actual
13/12/22 16:35, 0.009, Actual
13/12/22 16:40, 0, Actual
13/12/22 16:40, 0.009, Actual
13/12/22 16:45, 0, Actual
13/12/22 16:45, 0.009, Actual
13/12/22 16:50, 0, Actual
13/12/22 16:50, 0.012, Actual
13/12/22 16:55, 0, Actual
13/12/22 16:55, 0.013, Actual
13/12/22 17:00, 0, Actual
13/12/22 17:00, 0.012, Actual
13/12/22 17:05, 0, Actual
13/12/22 17:05, 0.009, Actual
13/12/22 17:10, 0, Actual
13/12/22 17:10, 0.009, Actual
13/12/22 17:15, 0, Actual
13/12/22 17:15, 0.009, Actual
13/12/22 17:20, 0, Actual
13/12/22 17:20, 0.011, Actual
13/12/22 17:25, 0, Actual
13/12/22 17:25, 0.012, Actual
13/12/22 17:30, 0, Actual
13/12/22 17:30, 0.013, Actual
13/12/22 17:35, 0, Actual
13/12/22 17:35, 0.012, Actual
13/12/22 17:40, 0, Actual
13/12/22 17:40, 0.009, Actual
13/12/22 17:45, 0, Actual
13/12/22 17:45, 0.01, Actual
13/12/22 17:50, 0, Actual
13/12/22 17:50, 0.009, Actual
13/12/22 17:55, 0, Actual
13/12/22 17:55, 0.011, Actual
13/12/22 18:00, 0, Actual
13/12/22 18:00, 0.013, Actual
